URL,Status,Product URL,Status Text,Iteration
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/patio-furniture-covers/seating-covers/chair-covers/chair-cover-design-1-p,,1
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/patio-furniture-covers/seating-covers/chaise-covers/chaise-lounge-cover-design-11-p,,2
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/patio-furniture-covers/couch-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p,,3
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/patio-furniture-covers/seating-covers/bench-covers/custom-bench-covers-design-1-p,,4
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/patio-furniture-covers/outdoor-table-covers/dining-set-covers/round-table-chair-set-covers-p,,5
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/patio-furniture-covers/outdoor-table-covers/dining-set-covers/square-rectangle-table-chair-set-covers-p,,6
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/patio-furniture-covers/outdoor-table-covers/dining-set-covers/round-table-chair-set-covers-w-umbrella-hole-p,,7
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/patio-furniture-covers/outdoor-table-covers/dining-set-covers/square-rectangle-table-chair-set-covers-w-umbrella-hole-p,,8
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/patio-furniture-covers/outdoor-table-covers/dining-set-covers/bar-height-dining-set-covers-p,,9
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/patio-furniture-covers/seating-covers/ottoman-covers/rectangle-ottoman-covers-p,,10
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/patio-furniture-covers/seating-covers/ottoman-covers/square-ottoman-covers-p,,11
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/patio-furniture-covers/seating-covers/ottoman-covers/round-ottoman-covers-p,,12
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/grill-heating-covers/fire-pit-covers/round-fire-pit-covers-design-1-p,,13
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/grill-heating-covers/fire-pit-covers/square-fire-pit-covers-p,,14
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/grill-heating-covers/fire-pit-covers/rectangular-fire-pit-covers-design-1-p,,15
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/patio-furniture-covers/outdoor-table-covers/table-top-covers/square-table-top-covers-p,,16
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/patio-furniture-covers/outdoor-table-covers/table-top-covers/rectangular-table-top-covers-p,,17
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/patio-furniture-covers/outdoor-table-covers/table-top-covers/round-table-top-covers-p,,18
https://www.coversandall.com/product/cart/addajax/,200,https://www.coversandall.com/patio-furniture-covers/outdoor-table-covers/accent-covers/round-accent-covers-p,,19
